students,education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
d-185722,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-188488,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-190221,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-190841,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-192371,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-193114,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-193561,Graduate,Not Specified,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-193998,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-196146,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-198170,Graduate,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-198831,Graduate,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-107678,High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-112100,High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-133182,High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-165185,High School,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-167767,High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-180198,High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-106705,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-120138,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-121459,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-127093,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-129291,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-144494,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-147325,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-157124,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-161013,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-162292,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-169000,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-170977,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-178761,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-185010,Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-193476,Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-112026,Unknown,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-153303,Unknown,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-161350,Unknown,Not Specified,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-162219,Unknown,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
d-105322,College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-108006,College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-151587,College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-159387,College,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-197136,College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-103947,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-105097,Graduate,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-115864,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-119747,Graduate,female,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-138875,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
d-144991,Graduate,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
