ticker,rank,quarter,nominal,real,relative
FFIV,0,04/01/87,0,0,0.0
FEYE,0,04/01/87,0,0,0.0
FB,0,04/01/87,0,0,0.0
EPAM,0,04/01/87,0,0,0.0
EBAY,0,04/01/87,0,0,0.0
DST,0,04/01/87,0,0,0.0
DOX,0,04/01/87,0,0,0.0
DATA,0,04/01/87,0,0,0.0
CTXS,0,04/01/87,0,0,0.0
CTSH,0,04/01/87,0,0,0.0
CSCO,0,04/01/87,0,0,0.0
CRM,0,04/01/87,0,0,0.0
COMM,0,04/01/87,0,0,0.0
CHKP,0,04/01/87,0,0,0.0
CDW,0,04/01/87,0,0,0.0
CDKVV,0,04/01/87,0,0,0.0
BRCM,0,04/01/87,0,0,0.0
BRCD,0,04/01/87,0,0,0.0
AVGO,0,04/01/87,0,0,0.0
ATHN,0,04/01/87,0,0,0.0
ARRS,0,04/01/87,0,0,0.0
ANSS,0,04/01/87,0,0,0.0
ANET,0,04/01/87,0,0,0.0
AMZN,0,04/01/87,0,0,0.0
ALTR,0,04/01/87,0,0,0.0
AKAM,0,04/01/87,0,0,0.0
894898,0,04/01/87,0,0,0.0
IBM,1,07/01/87,98996.0,206206.0,0.622170267858
HPQ,2,07/01/87,16524.0,34418.0,0.103850069761
MSI,3,07/01/87,7984.0,16631.0,0.0501778598992
AAPL,4,07/01/87,6023.0,12545.0,0.0378533629976
INTC,5,07/01/87,5523.0,11503.0,0.0347109619518
TXN,6,07/01/87,5227.0,10887.0,0.0328506605327
PBI,7,07/01/87,3475.0,7238.0,0.0218396872682
GLW,8,07/01/87,3194.0,6652.0,0.0200736578805
MSFT,9,07/01/87,2802.0,5837.0,0.0176100154606
HRS,10,07/01/87,1520.0,3165.0,0.0095528991792
CA,11,07/01/87,1422.0,2963.0,0.00893698857423
ADI,12,07/01/87,900.0,1874.0,0.00565632188242
CSC,13,07/01/87,897.0,1869.0,0.00563746747615
ORCL,14,07/01/87,709.0,1477.0,0.00445592468293
WDC,15,07/01/87,648.0,1351.0,0.00407255175535
ADSK,16,07/01/87,614.0,1279.0,0.00385886848423
EMC,17,07/01/87,498.0,1036.0,0.00312983144161
KLAC,18,07/01/87,377.0,784.0,0.00236937038853
ADBE,19,07/01/87,351.0,730.0,0.00220596553415
AMAT,20,07/01/87,349.0,726.0,0.00219339592996
MU,21,07/01/87,309.0,644.0,0.0019420038463
TYL,22,07/01/87,260.0,542.0,0.00163404854381
LLTC,23,07/01/87,200.0,417.0,0.00125696041832
CDNS,24,07/01/87,84.0,175.0,0.000527923375693
CERN,25,07/01/87,83.0,172.0,0.000521638573601
LRCX,26,07/01/87,78.0,162.0,0.000490214563143
SWKS,27,07/01/87,67.0,139.0,0.000421081740136
YHOO,0,07/01/87,0,0,0.0
XLNX,0,07/01/87,0,0,0.0
WDAY,0,07/01/87,0,0,0.0
VRSN,0,07/01/87,0,0,0.0
VMW,0,07/01/87,0,0,0.0
ULTI,0,07/01/87,0,0,0.0
TWTR,0,07/01/87,0,0,0.0
TDC,0,07/01/87,0,0,0.0
SYMC,0,07/01/87,0,0,0.0
STX,0,07/01/87,0,0,0.0
SSNC,0,07/01/87,0,0,0.0
SPLK,0,07/01/87,0,0,0.0
SNPS,0,07/01/87,0,0,0.0
SNDK,0,07/01/87,0,0,0.0
RHT,0,07/01/87,0,0,0.0
QRVO,0,07/01/87,0,0,0.0
QCOM,0,07/01/87,0,0,0.0
PYPL,0,07/01/87,0,0,0.0
PTC,0,07/01/87,0,0,0.0
PANW,0,07/01/87,0,0,0.0
ON,0,07/01/87,0,0,0.0
NXPI,0,07/01/87,0,0,0.0
NVDA,0,07/01/87,0,0,0.0
NUAN,0,07/01/87,0,0,0.0
