education level,gender,2013 Enrollments,2014 Enrollments,2015 Enrollments
High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
High School,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
High School,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Ph.D.,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Unknown,female,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Unknown,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Unknown,Not Specified,Not Enrolled,IVMOOC-2014,IVMOOC-2015
Unknown,male,Not Enrolled,IVMOOC-2014,IVMOOC-2015
College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
College,male,IVMOOC-2013,Not Enrolled,IVMOOC-2015
